[2019-03-07 17:55:57][DEBUG][players] Start computing players time spent on pitch..
[2019-03-07 18:05:22][DEBUG][players] .. 74/190 - Sucessfully loaded file f24-24-2016-853274-eventdetails.xml
[2019-03-07 18:05:29][DEBUG][players] .. 75/190 - Sucessfully loaded file f24-24-2016-853292-eventdetails.xml
[2019-03-07 18:05:35][DEBUG][players] .. 76/190 - Sucessfully loaded file f24-24-2016-853316-eventdetails.xml
[2019-03-07 18:05:41][DEBUG][players] .. 77/190 - Sucessfully loaded file f24-24-2016-853328-eventdetails.xml
[2019-03-07 18:05:47][DEBUG][players] .. 78/190 - Sucessfully loaded file f24-24-2016-853211-eventdetails.xml
[2019-03-07 18:05:55][DEBUG][players] .. 79/190 - Sucessfully loaded file f24-24-2016-853286-eventdetails.xml
[2019-03-07 18:06:01][DEBUG][players] .. 80/190 - Sucessfully loaded file f24-24-2016-853260-eventdetails.xml
[2019-03-07 18:06:08][DEBUG][players] .. 81/190 - Sucessfully loaded file f24-24-2016-853164-eventdetails.xml
[2019-03-07 18:06:14][DEBUG][players] .. 82/190 - Sucessfully loaded file f24-24-2016-853182-eventdetails.xml
[2019-03-07 18:06:20][DEBUG][players] .. 83/190 - Sucessfully loaded file f24-24-2016-853205-eventdetails.xml
[2019-03-07 18:06:27][DEBUG][players] .. 84/190 - Sucessfully loaded file f24-24-2016-853302-eventdetails.xml
[2019-03-07 18:06:34][DEBUG][players] .. 85/190 - Sucessfully loaded file f24-24-2016-853323-eventdetails.xml
[2019-03-07 18:06:40][DEBUG][players] .. 86/190 - Sucessfully loaded file f24-24-2016-853224-eventdetails.xml
[2019-03-07 18:06:47][DEBUG][players] .. 87/190 - Sucessfully loaded file f24-24-2016-853145-eventdetails.xml
[2019-03-07 18:06:54][DEBUG][players] .. 88/190 - Sucessfully loaded file f24-24-2016-853299-eventdetails.xml
[2019-03-07 18:07:02][DEBUG][players] .. 89/190 - Sucessfully loaded file f24-24-2016-853241-eventdetails.xml
[2019-03-07 18:07:09][DEBUG][players] .. 90/190 - Sucessfully loaded file f24-24-2016-853191-eventdetails.xml
[2019-03-07 18:07:16][DEBUG][players] .. 91/190 - Sucessfully loaded file f24-24-2016-853149-eventdetails.xml
[2019-03-07 18:07:22][DEBUG][players] .. 92/190 - Sucessfully loaded file f24-24-2016-853177-eventdetails.xml
[2019-03-07 18:07:32][DEBUG][players] .. 93/190 - Sucessfully loaded file f24-24-2016-853273-eventdetails.xml
[2019-03-07 18:07:41][DEBUG][players] .. 94/190 - Sucessfully loaded file f24-24-2016-853295-eventdetails.xml
[2019-03-07 18:07:50][DEBUG][players] .. 95/190 - Sucessfully loaded file f24-24-2016-853311-eventdetails.xml
[2019-03-07 18:07:57][DEBUG][players] .. 96/190 - Sucessfully loaded file f24-24-2016-853228-eventdetails.xml
[2019-03-07 18:08:06][DEBUG][players] .. 97/190 - Sucessfully loaded file f24-24-2016-853216-eventdetails.xml
[2019-03-07 18:08:13][DEBUG][players] .. 98/190 - Sucessfully loaded file f24-24-2016-853237-eventdetails.xml
[2019-03-07 18:08:19][DEBUG][players] .. 99/190 - Sucessfully loaded file f24-24-2016-853209-eventdetails.xml
[2019-03-07 18:08:26][DEBUG][players] .. 100/190 - Sucessfully loaded file f24-24-2016-853252-eventdetails.xml
[2019-03-07 18:08:34][DEBUG][players] .. 101/190 - Sucessfully loaded file f24-24-2016-853156-eventdetails.xml
[2019-03-07 18:08:40][DEBUG][players] .. 102/190 - Sucessfully loaded file f24-24-2016-853168-eventdetails.xml
[2019-03-07 18:08:47][DEBUG][players] .. 103/190 - Sucessfully loaded file f24-24-2016-853324-eventdetails.xml
[2019-03-07 18:08:55][DEBUG][players] .. 104/190 - Sucessfully loaded file f24-24-2016-853223-eventdetails.xml
[2019-03-07 18:09:04][DEBUG][players] .. 105/190 - Sucessfully loaded file f24-24-2016-853142-eventdetails.xml
[2019-03-07 18:09:11][DEBUG][players] .. 106/190 - Sucessfully loaded file f24-24-2016-853278-eventdetails.xml
[2019-03-07 18:09:17][DEBUG][players] .. 107/190 - Sucessfully loaded file f24-24-2016-853246-eventdetails.xml
[2019-03-07 18:09:24][DEBUG][players] .. 108/190 - Sucessfully loaded file f24-24-2016-853281-eventdetails.xml
[2019-03-07 18:09:32][DEBUG][players] .. 109/190 - Sucessfully loaded file f24-24-2016-853267-eventdetails.xml
[2019-03-07 18:09:39][DEBUG][players] .. 110/190 - Sucessfully loaded file f24-24-2016-853259-eventdetails.xml
[2019-03-07 18:09:46][DEBUG][players] .. 111/190 - Sucessfully loaded file f24-24-2016-853163-eventdetails.xml
[2019-03-07 18:09:52][DEBUG][players] .. 112/190 - Sucessfully loaded file f24-24-2016-853185-eventdetails.xml
[2019-03-07 18:09:58][DEBUG][players] .. 113/190 - Sucessfully loaded file f24-24-2016-853202-eventdetails.xml
[2019-03-07 18:10:04][DEBUG][players] .. 114/190 - Sucessfully loaded file f24-24-2016-853305-eventdetails.xml
[2019-03-07 18:10:10][DEBUG][players] .. 115/190 - Sucessfully loaded file f24-24-2016-853167-eventdetails.xml
[2019-03-07 18:10:17][DEBUG][players] .. 116/190 - Sucessfully loaded file f24-24-2016-853159-eventdetails.xml
[2019-03-07 18:10:24][DEBUG][players] .. 117/190 - Sucessfully loaded file f24-24-2016-853181-eventdetails.xml
[2019-03-07 18:10:32][DEBUG][players] .. 118/190 - Sucessfully loaded file f24-24-2016-853285-eventdetails.xml
[2019-03-07 18:10:40][DEBUG][players] .. 119/190 - Sucessfully loaded file f24-24-2016-853263-eventdetails.xml
[2019-03-07 18:10:49][DEBUG][players] .. 120/190 - Sucessfully loaded file f24-24-2016-853301-eventdetails.xml
[2019-03-07 18:10:57][DEBUG][players] .. 121/190 - Sucessfully loaded file f24-24-2016-853206-eventdetails.xml
[2019-03-07 18:11:05][DEBUG][players] .. 122/190 - Sucessfully loaded file f24-24-2016-853238-eventdetails.xml
[2019-03-07 18:11:12][DEBUG][players] .. 123/190 - Sucessfully loaded file f24-24-2016-853219-eventdetails.xml
[2019-03-07 18:11:20][DEBUG][players] .. 124/190 - Sucessfully loaded file f24-24-2016-853227-eventdetails.xml
[2019-03-07 18:11:27][DEBUG][players] .. 125/190 - Sucessfully loaded file f24-24-2016-853320-eventdetails.xml
[2019-03-07 18:11:35][DEBUG][players] .. 126/190 - Sucessfully loaded file f24-24-2016-853242-eventdetails.xml
[2019-03-07 18:11:42][DEBUG][players] .. 127/190 - Sucessfully loaded file f24-24-2016-853178-eventdetails.xml
[2019-03-07 18:11:48][DEBUG][players] .. 128/190 - Sucessfully loaded file f24-24-2016-853146-eventdetails.xml
[2019-03-07 18:11:55][DEBUG][players] .. 129/190 - Sucessfully loaded file f24-24-2016-853233-eventdetails.xml
[2019-03-07 18:12:02][DEBUG][players] .. 130/190 - Sucessfully loaded file f24-24-2016-853152-eventdetails.xml
[2019-03-07 18:12:08][DEBUG][players] .. 131/190 - Sucessfully loaded file f24-24-2016-853256-eventdetails.xml
[2019-03-07 18:12:16][DEBUG][players] .. 132/190 - Sucessfully loaded file f24-24-2016-853268-eventdetails.xml
[2019-03-07 18:12:25][DEBUG][players] .. 133/190 - Sucessfully loaded file f24-24-2016-853249-eventdetails.xml
[2019-03-07 18:12:32][DEBUG][players] .. 134/190 - Sucessfully loaded file f24-24-2016-853277-eventdetails.xml
[2019-03-07 18:12:39][DEBUG][players] .. 135/190 - Sucessfully loaded file f24-24-2016-853291-eventdetails.xml
[2019-03-07 18:12:46][DEBUG][players] .. 136/190 - Sucessfully loaded file f24-24-2016-853195-eventdetails.xml
[2019-03-07 18:12:52][DEBUG][players] .. 137/190 - Sucessfully loaded file f24-24-2016-853173-eventdetails.xml
[2019-03-07 18:13:01][DEBUG][players] .. 138/190 - Sucessfully loaded file f24-24-2016-853212-eventdetails.xml
[2019-03-07 18:13:07][DEBUG][players] .. 139/190 - Sucessfully loaded file f24-24-2016-853315-eventdetails.xml
[2019-03-07 18:13:15][DEBUG][players] .. 140/190 - Sucessfully loaded file f24-24-2016-853253-eventdetails.xml
[2019-03-07 18:13:22][DEBUG][players] .. 141/190 - Sucessfully loaded file f24-24-2016-853157-eventdetails.xml
[2019-03-07 18:13:29][DEBUG][players] .. 142/190 - Sucessfully loaded file f24-24-2016-853169-eventdetails.xml
[2019-03-07 18:13:37][DEBUG][players] .. 143/190 - Sucessfully loaded file f24-24-2016-853236-eventdetails.xml
[2019-03-07 18:13:44][DEBUG][players] .. 144/190 - Sucessfully loaded file f24-24-2016-853208-eventdetails.xml
[2019-03-07 18:13:52][DEBUG][players] .. 145/190 - Sucessfully loaded file f24-24-2016-853310-eventdetails.xml
[2019-03-07 18:13:59][DEBUG][players] .. 146/190 - Sucessfully loaded file f24-24-2016-853229-eventdetails.xml
[2019-03-07 18:14:06][DEBUG][players] .. 147/190 - Sucessfully loaded file f24-24-2016-853217-eventdetails.xml
[2019-03-07 18:14:13][DEBUG][players] .. 148/190 - Sucessfully loaded file f24-24-2016-853148-eventdetails.xml
[2019-03-07 18:14:21][DEBUG][players] .. 149/190 - Sucessfully loaded file f24-24-2016-853176-eventdetails.xml
[2019-03-07 18:14:28][DEBUG][players] .. 150/190 - Sucessfully loaded file f24-24-2016-853190-eventdetails.xml
[2019-03-07 18:14:36][DEBUG][players] .. 151/190 - Sucessfully loaded file f24-24-2016-853294-eventdetails.xml
[2019-03-07 18:14:44][DEBUG][players] .. 152/190 - Sucessfully loaded file f24-24-2016-853272-eventdetails.xml
[2019-03-07 18:14:53][DEBUG][players] .. 153/190 - Sucessfully loaded file f24-24-2016-853203-eventdetails.xml
[2019-03-07 18:14:59][DEBUG][players] .. 154/190 - Sucessfully loaded file f24-24-2016-853139-eventdetails.xml
[2019-03-07 18:15:07][DEBUG][players] .. 155/190 - Sucessfully loaded file f24-24-2016-853304-eventdetails.xml
[2019-03-07 18:15:14][DEBUG][players] .. 156/190 - Sucessfully loaded file f24-24-2016-853266-eventdetails.xml
[2019-03-07 18:15:29][DEBUG][players] .. 157/190 - Sucessfully loaded file f24-24-2016-853258-eventdetails.xml
[2019-03-07 18:15:38][DEBUG][players] .. 158/190 - Sucessfully loaded file f24-24-2016-853280-eventdetails.xml
[2019-03-07 18:15:46][DEBUG][players] .. 159/190 - Sucessfully loaded file f24-24-2016-853184-eventdetails.xml
[2019-03-07 18:15:53][DEBUG][players] .. 160/190 - Sucessfully loaded file f24-24-2016-853162-eventdetails.xml
[2019-03-07 18:15:59][DEBUG][players] .. 161/190 - Sucessfully loaded file f24-24-2016-853143-eventdetails.xml
[2019-03-07 18:16:05][DEBUG][players] .. 162/190 - Sucessfully loaded file f24-24-2016-853279-eventdetails.xml
[2019-03-07 18:16:12][DEBUG][players] .. 163/190 - Sucessfully loaded file f24-24-2016-853247-eventdetails.xml
[2019-03-07 18:16:18][DEBUG][players] .. 164/190 - Sucessfully loaded file f24-24-2016-853325-eventdetails.xml
[2019-03-07 18:16:25][DEBUG][players] .. 165/190 - Sucessfully loaded file f24-24-2016-853222-eventdetails.xml
[2019-03-07 21:16:37][DEBUG][players] .. 166/190 - Sucessfully loaded file f24-24-2016-853243-eventdetails.xml
[2019-03-07 22:05:10][DEBUG][players] .. 167/190 - Sucessfully loaded file f24-24-2016-853179-eventdetails.xml
[2019-03-07 22:05:31][DEBUG][players] .. 168/190 - Sucessfully loaded file f24-24-2016-853147-eventdetails.xml
[2019-03-07 22:05:38][DEBUG][players] .. 169/190 - Sucessfully loaded file f24-24-2016-853218-eventdetails.xml
[2019-03-07 22:10:44][DEBUG][players] .. 170/190 - Sucessfully loaded file f24-24-2016-853226-eventdetails.xml
[2019-03-07 22:10:52][DEBUG][players] .. 171/190 - Sucessfully loaded file f24-24-2016-853321-eventdetails.xml
[2019-03-07 22:11:00][DEBUG][players] .. 172/190 - Sucessfully loaded file f24-24-2016-853300-eventdetails.xml
[2019-03-07 22:11:07][DEBUG][players] .. 173/190 - Sucessfully loaded file f24-24-2016-853207-eventdetails.xml
[2019-03-07 22:11:16][DEBUG][players] .. 174/190 - Sucessfully loaded file f24-24-2016-853239-eventdetails.xml
[2019-03-07 22:11:23][DEBUG][players] .. 175/190 - Sucessfully loaded file f24-24-2016-853180-eventdetails.xml
[2019-03-07 22:11:29][DEBUG][players] .. 176/190 - Sucessfully loaded file f24-24-2016-853166-eventdetails.xml
[2019-03-07 22:11:36][DEBUG][players] .. 177/190 - Sucessfully loaded file f24-24-2016-853158-eventdetails.xml
[2019-03-07 22:11:43][DEBUG][players] .. 178/190 - Sucessfully loaded file f24-24-2016-853262-eventdetails.xml
[2019-03-07 22:11:49][DEBUG][players] .. 179/190 - Sucessfully loaded file f24-24-2016-853284-eventdetails.xml
[2019-03-07 22:11:56][DEBUG][players] .. 180/190 - Sucessfully loaded file f24-24-2016-853213-eventdetails.xml
[2019-03-07 22:12:04][DEBUG][players] .. 181/190 - Sucessfully loaded file f24-24-2016-853314-eventdetails.xml
[2019-03-07 22:12:10][DEBUG][players] .. 182/190 - Sucessfully loaded file f24-24-2016-853290-eventdetails.xml
[2019-03-07 22:12:17][DEBUG][players] .. 183/190 - Sucessfully loaded file f24-24-2016-853248-eventdetails.xml
[2019-03-07 22:12:23][DEBUG][players] .. 184/190 - Sucessfully loaded file f24-24-2016-853276-eventdetails.xml
[2019-03-07 22:12:30][DEBUG][players] .. 185/190 - Sucessfully loaded file f24-24-2016-853172-eventdetails.xml
[2019-03-07 22:12:36][DEBUG][players] .. 186/190 - Sucessfully loaded file f24-24-2016-853194-eventdetails.xml
[2019-03-07 22:12:43][DEBUG][players] .. 187/190 - Sucessfully loaded file f24-24-2016-853153-eventdetails.xml
[2019-03-07 22:36:15][DEBUG][players] .. 188/190 - Sucessfully loaded file f24-24-2016-853257-eventdetails.xml
[2019-03-07 22:36:23][DEBUG][players] .. 189/190 - Sucessfully loaded file f24-24-2016-853269-eventdetails.xml
[2019-03-07 22:36:30][DEBUG][players] .. 190/190 - Sucessfully loaded file f24-24-2016-853232-eventdetails.xml
[2019-03-07 22:37:01][DEBUG][diff] diff parser start
[2019-03-07 22:37:01][DEBUG][diff] line_lengths old: 1; new: 1
[2019-03-07 22:37:01][DEBUG][diff] -> code[replace] old[1:1] new[1:1]
[2019-03-07 22:37:01][DEBUG][diff] parse_part from 1 to 1 (to 0 in part parser)
[2019-03-07 22:37:01][DEBUG][diff] diff parser end
[2019-03-07 22:37:01][DEBUG][cache] pickle loaded: /Users/vinhpham-gia/Documents/_perso/recherche/2019-03_psgx/.venv/lib/python3.5/site-packages/pandas/__init__.py
[2019-03-07 22:37:09][DEBUG][diff] diff parser start
[2019-03-07 22:37:09][DEBUG][diff] line_lengths old: 1; new: 1
[2019-03-07 22:37:09][DEBUG][diff] -> code[replace] old[1:1] new[1:1]
[2019-03-07 22:37:09][DEBUG][diff] parse_part from 1 to 1 (to 0 in part parser)
[2019-03-07 22:37:09][DEBUG][diff] diff parser end
[2019-03-08 17:45:54][DEBUG][game_analyzer] Sucessfully initialized GameAnalyzer.
[2019-03-08 17:46:57][DEBUG][game_analyzer] Sucessfully initialized GameAnalyzer.
[2019-03-08 17:48:44][DEBUG][game_analyzer] Sucessfully initialized GameAnalyzer.
